periode_data,wilayah,no_registrasi,jenis_halte,kode_barang,lokasi_alamat,lintang,bujur
2024,KOTA ADM. JAKARTA UTARA,HLT202400550,REGULER,133010118004,JL. BANDENGAN SEL NO 23 RT 5 RW 16 PEJAGALAN KEC PENJARINGAN KOTA JKT UTARA DAERAH KHUSUS IBUKOTA JAKARTA 14450 BAWAH JPO DEPAN TOKO NASA,-6.1573172,106.8449949
2024,KOTA ADM. JAKARTA SELATAN,HLT202400551,REGULER,133010118004,JL. RAJAWALI SELATAN RAYA RT 4 RW 6 GN SAHARI UTARA KECAMATAN SAWAH BESAR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10720 HALTE SENTANI,-6.1523883,106.9267017
2024,KOTA ADM. JAKARTA PUSAT,HLT202400552,REGULER,133010118004,JL. TEUKU CIK DITIRO NO 56A RT 9 RW 5 MENTENG KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10310 HALTE CIKTIRO,-6.1190254,106.794276
2024,KOTA ADM. JAKARTA SELATAN,HLT202400553,REGULER,133010135001,JL. KH GURU AMIN U S SAMPING TMB KALIBATA,-6.1644911,106.7628822
2024,KOTA ADM. JAKARTA TIMUR,HLT202400554,REGULER,133010135001,JL. YOS SUDARSO U S DEPAN TAMAN KOTA PLUMPANG RAWA BEBEK,-6.1659833,106.7963983
2024,KOTA ADM. JAKARTA PUSAT,HLT202400555,REGULER,133010118004,JL. DR GSSJ RATULANGI 36 26 RT 2 RW 3 GONDANGDIA KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10350 HALTE SMU,-6.1751348,106.7660013
2024,KOTA ADM. JAKARTA PUSAT,HLT202400556,REGULER,133010118004,JL. DR GSSJ RATULANGI RT 2 RW 3 GONDANGDIA KEC MENTENG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10350 HALTE MENTENG GOTHE,-6.1373723,106.7920138
2024,KOTA ADM. JAKARTA TIMUR,HLT202400557,REGULER,133010118004,JL. YOS SUDARSO U S JL. TABAH RAYA SEKOLAH HANGTUAH KELAP,-6.1644124,106.7628079
2024,KOTA ADM. JAKARTA BARAT,HLT202400558,REGULER,133010118004,2 JL. PETA UTARA S U SEBERANG SEKOLAH SMK PGRI 36 YAYASA,-6.1719898,106.8891033
2024,KOTA ADM. JAKARTA PUSAT,HLT202400559,REGULER,133010135001,JL. PENJERNIHAN 1 KOTA ADM. JAKARTA PUSAT RT 10 RW 6 BEND HILIR TANAHABANG KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10210 HALTE PU IRIGASI,-6.1656933,106.7984117
2024,KOTA ADM. JAKARTA PUSAT,HLT202400560,REGULER,133010135001,JL. PENJERNIHAN 1 NO 45 BEND HILIR TANAHABANG JAKARTA DAERAH KHUSUS IBUKOTA JAKARTA 10210 HALTE KELURAHAN,-6.1770807,106.8001458
2024,KOTA ADM. JAKARTA BARAT,HLT202400561,REGULER,133010135001,3 JL. OUTER RING ROAD BARAT S U DEPAN SPBU PERTAMINA TEGA,-6.1436083,106.7938067
2024,KOTA ADM. JAKARTA PUSAT,HLT202400687,REGULER,133010118004,JL. KEBON SIRIH 30 22 RT 14 RW 2 KB SIRIH KECAMATAN GAMBIR KOTA KOTA ADM. JAKARTA PUSAT DAERAH KHUSUS IBUKOTA JAKARTA 10110 HALTE DPRD,-6.2477361,106.9246091
2024,KOTA ADM. JAKARTA SELATAN,HLT202400688,REGULER,133010118004,DEKAT JL. POLTANGAN JL. RAYA PS MINGGU SISI TIMUR,-6.1712402,106.8100692
